 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1991_11_23 1200 24.17 2
1991_11_28 1200 24.54 2
1991_12_03 1200 25.23 2
1991_12_08 1200 25.21 2
1991_12_13 1200 24.54 2
1991_12_18 1200 24.75 2
1991_12_23 1200 24.99 2
1991_12_28 1200 25.1 2
1992_01_02 1200 25.47 2
1992_01_07 1200 25.72 2
1992_01_12 1200 26.14 2
1992_01_17 1200 26.2 2
1992_01_22 1200 26.3 2
1992_01_27 1200 26.35 2
1992_02_01 1200 26.63 2
1992_02_06 1200 26.38 2
1992_02_11 1200 26.56 2
1992_02_16 1200 26.63 2
1992_02_21 1200 26.8 2
1992_02_26 1200 26.88 2
1992_03_03 1200 27.34 2
1992_03_08 1200 27.61 2
1992_03_13 1200 27.56 2
1992_03_18 1200 27.75 2
1992_03_23 1200 28.05 2
1992_03_28 1200 28.51 2
1992_04_02 1200 28.38 2
1992_04_07 1200 27.99 2
1992_04_12 1200 28.11 2
1992_04_17 1200 28.68 2
1992_04_22 1200 27.67 2
1992_04_27 1200 28 2
1992_05_02 1200 27.89 2
1992_05_07 1200 28.59 2
1992_05_12 1200 28.39 2
1992_05_17 1200 26.9 2
1992_05_22 1200 27.18 2
1992_05_27 1200 27.21 2
1992_06_01 1200 26.77 2
1992_06_06 1200 24.21 2
1992_06_11 1200 23.87 2
1992_06_16 1200 23.4 2
1992_06_21 1200 23.47 2
1992_06_26 1200 23.23 2
1992_07_01 1200 23.03 2
1992_07_06 1200 23.38 2
1992_07_11 1200 23.93 2
1992_07_16 1200 22.66 2
1992_07_21 1200 22.2 2
1992_07_26 1200 22.34 2
1992_07_31 1200 21.8 2
1992_08_05 1200 21.8 2
1992_08_10 1200 22.36 2
1992_08_15 1200 23.14 2
1992_08_20 1200 21.95 2
1992_08_25 1200 21.83 2
1992_08_30 1200 20.67 2
1992_09_04 1200 20.49 2
1992_09_09 1200 21.9 2
1992_09_14 1200 21.68 2
1992_09_19 1200 21.53 2
1992_09_24 1200 22.13 2
1992_09_29 1200 22.01 2
1992_10_04 1200 23.73 2
1992_10_09 1200 21.46 2
1992_10_14 1200 21.88 2
1992_10_19 1200 22.34 2
1992_10_24 1200 23.09 2
1992_10_29 1200 23.9 2
1992_11_03 1200 22.17 2
1992_11_08 1200 22.3 2
1992_11_13 1200 22.43 2
1992_11_18 1200 22.03 2
1992_11_23 1200 21.85 2
1992_11_28 1200 21.87 2
1992_12_03 1200 21.87 2
1992_12_08 1200 22.59 2
1992_12_13 1200 23.43 2
1992_12_18 1200 23.06 2
1992_12_23 1200 23.15 2
1992_12_28 1200 23.65 2
1993_01_02 1200 23.63 2
1993_01_07 1200 23.72 2
1993_01_12 1200 24.1 2
1993_01_17 1200 24.8 2
1993_01_22 1200 25.2 2
1993_01_27 1200 24.72 2
1993_02_01 1200 24.84 2
1993_02_06 1200 25.3 2
1993_02_11 1200 25.49 2
1993_02_16 1200 25.87 2
1993_02_21 1200 25.4 2
1993_02_26 1200 25.37 2
1993_03_03 1200 26.38 2
1993_03_08 1200 26.86 2
1993_03_13 1200 26.33 2
1993_03_18 1200 26.62 2
1993_03_23 1200 27.43 2
1993_03_28 1200 27.98 2
1993_04_02 1200 28.52 2
1993_04_07 1200 28.14 2
1993_04_12 1200 27.46 2
1993_04_17 1200 27.82 2
1993_04_22 1200 27.38 2
1993_04_27 1200 27.3 2
1993_05_02 1200 27.28 2
1993_05_07 1200 26.93 2
1993_05_12 1200 26.79 2
1993_05_17 1200 27.07 2
1993_05_22 1200 26.64 2
1993_05_27 1200 26.53 2
1993_06_01 1200 26.49 2
1993_06_06 1200 26.16 2
1993_06_11 1200 25.67 2
1993_06_16 1200 25.23 2
1993_06_21 1200 24.98 2
1993_06_26 1200 24.67 2
1993_07_01 1200 25.47 2
1993_07_06 1200 24.2 2
1993_07_11 1200 24.17 2
1993_07_16 1200 23.63 2
1993_07_21 1200 23 2
1993_07_26 1200 22.57 2
1993_07_31 1200 22.71 2
1993_08_05 1200 22.06 2
1993_08_10 1200 21.82 2
1993_08_15 1200 21.96 2
1993_08_20 1200 23.11 2
1993_08_25 1200 25.21 2
1993_08_30 1200 22.15 2
1993_09_04 1200 23 2
1993_09_09 1200 22.22 2
1993_09_14 1200 21.92 2
1993_09_19 1200 22.2 2
1993_09_24 1200 22.48 2
1993_09_29 1200 23 2
1993_10_04 1200 23.31 2
1993_10_09 1200 23.79 2
1993_10_14 1200 23.84 2
1993_10_19 1200 24.66 2
1993_10_24 1200 23.05 2
1993_10_29 1200 23.54 2
1993_11_03 1200 23.54 2
1993_11_08 1200 23.28 2
1993_11_13 1200 22.31 2
1993_11_18 1200 22.48 2
1993_11_23 1200 23.44 2
1993_11_28 1200 23.71 2
1993_12_03 1200 22.86 2
1993_12_08 1200 22.81 2
1993_12_13 1200 23.25 2
1993_12_18 1200 23.29 2
