Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Southern bluefin tuna Southern Oceans,Longlines (nei),33729,28088,20971,25042,23586,20575,15625,14609,12227,11951,8968,10692,12466,12769,11037,11273,11854,11200,13539,14178,10342,11264,10573,8281,8664,10934,6107,5765,6371,6044,5518
Southern bluefin tuna Southern Oceans,Mechanized lines and pole-and-lines,9159,10091,14670,11823,8967,7410,6155,5409,7770,3807,1803,1823,1673,1018,844,795,1659,1843,640,22,0,0,1,0,0,0,1,0,0,2,0
Southern bluefin tuna Southern Oceans,Purse seines,2036,6752,6831,5872,4444,5179,6376,5411,2820,1626,2511,1034,22,536,1269,1840,3121,2998,3584,5325,5132,4767,4683,5792,4834,5210,5629,4809,5010,4893,4039
Southern bluefin tuna Southern Oceans,Trolling lines,0,0,0,0,0,0,0,0,0,31,21,1,4,0,0,9,3,31,13,3,1,0,1,2,5,6,2,3,0,7,1
Yellowfin tuna in the Atlantic,Gear not known,1470,6983,4487,7205,4406,7621,9140,8074,6093,5726,4207,6970,5815,6838,11518,14152,7602,6699,6077,6923,7660,9098,5574,8819,9811,7889,10329,8539,3563,5950,5062
Yellowfin tuna in the Atlantic,Longlines (nei),19243,19309,20382,13763,17001,19713,24269,20915,28002,24694,29104,22749,23112,19976,26428,24908,26118,22049,25541,27054,27129,22441,17714,19239,27459,21766,21474,27004,21762,19348,18871
Yellowfin tuna in the Atlantic,Mechanized lines and pole-and-lines,8129,11706,16181,15110,18392,21598,17722,22218,21842,17002,24366,23131,21371,24854,22745,18793,18364,17181,22841,24604,18917,24387,19442,15277,20223,15879,13129,11200,12607,12280,9567
Yellowfin tuna in the Atlantic,Purse seines,101896,118134,124273,129735,74173,107642,95285,93739,80083,114672,135529,113817,113346,110960,111661,95108,100666,91050,93929,81782,82539,108719,97538,82086,62226,61408,61466,52734,71515,79578,74170
Yellowfin tuna in the Atlantic,Trolling lines,5,6,19,44,77,45,256,415,245,153,330,234,117,125,231,291,293,238,177,0,2,0,13,164,252,291,164,145,140,178,261
Yellowfin tuna in the East Pacific,Gear not known,862,799,278,849,344,213,214,137,754,263,960,957,1958,3033,1487,2067,1639,625,1528,2704,1151,605,630,2617,651,1854,1457,1438,941,994,959
Yellowfin tuna in the East Pacific,Longlines (nei),13477,7999,10961,10895,10345,13198,22808,18911,14660,17032,34633,30899,18646,24009,30026,20596,16608,22135,15336,11682,23814,29523,25450,23702,18755,11894,9117,7625,8204,7668,6428
Yellowfin tuna in the East Pacific,Mechanized lines and pole-and-lines,1481,1477,1538,4007,2991,1070,2537,5107,3723,4145,2676,2856,3789,4951,3625,1268,3762,4418,5085,1783,2431,3916,950,469,1882,1822,686,894,812,709,460
Yellowfin tuna in the East Pacific,Purse seines,143042,168234,114755,83929,135785,211459,260512,262008,277293,277996,263253,231257,228121,219492,208408,215434,238607,244878,253959,281920,253262,383937,412287,383279,272555,268102,166629,170016,185057,236756,251008
Yellowfin tuna in the East Pacific,Trolling lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yellowfin tuna in the Western and Central Pacific,Gear not known,47749,54065,49423,53821,57470,66617,69072,60611,69261,73751,82888,90377,55248,51768,70849,74501,79246,72234,85311,88252,88234,78634,86459,89620,80566,75669,77773,82972,73035,78969,80530
Yellowfin tuna in the Western and Central Pacific,Longlines (nei),122875,94665,84988,86187,73036,76265,65019,76812,89400,68908,73917,59224,72508,66244,74779,80407,77682,71081,67450,58645,72760,72460,74072,78320,77563,70727,66465,61600,61333,79615,82485
Yellowfin tuna in the Western and Central Pacific,Mechanized lines and pole-and-lines,13168,19270,13835,13266,13558,18156,13074,13243,13433,15169,13103,12921,15225,12698,13743,15063,15479,12362,13110,13817,18179,14342,13297,11278,11787,15401,14075,13339,11421,11200,10262
Yellowfin tuna in the Western and Central Pacific,Purse seines,33201,47798,67995,113568,122710,113048,113726,130704,147784,171365,194113,244823,238736,195330,226280,233584,171181,265174,336179,288432,298761,289990,329719,357030,280304,430757,363609,381514,499133,366457,382521
Yellowfin tuna in the Western and Central Pacific,Trolling lines,9,16,54,51,67,69,62,48,76,73,68,51,98,141,101,2570,2636,2838,2806,3162,3343,3716,3172,3101,2706,2508,2607,2854,2903,3024,2963
Yellowfin tuna Indian Ocean,Gear not known,18329,19610,20880,15343,16990,21128,18795,25371,34482,46094,44182,42510,55633,56610,76332,82072,86831,85146,83353,101142,85087,85821,94371,111196,137098,114165,117588,108409,115762,108618,119120
Yellowfin tuna Indian Ocean,Longlines (nei),22153,23582,33625,30002,24633,29980,44477,45992,54009,64639,85538,78565,136345,195845,120233,88431,113370,108927,109024,103334,91035,83157,87573,86939,117915,151587,101301,81975,56759,43729,42680
Yellowfin tuna Indian Ocean,Mechanized lines and pole-and-lines,4654,6292,5049,8167,8822,7500,6837,8115,6607,6219,5567,7650,8658,9995,13117,12498,12227,12917,13958,13448,10823,12005,17291,17150,15687,16214,17280,15568,17975,16720,12755
Yellowfin tuna Indian Ocean,Purse seines,144,278,1195,12661,58270,68742,73445,83830,118617,89715,108619,105281,112113,126895,113668,148248,129855,132298,100631,135017,140529,130245,139249,224344,228719,194187,160081,97742,116890,88276,105857
Yellowfin tuna Indian Ocean,Trolling lines,4111,4319,4532,4378,4431,4501,4529,4874,6229,7693,6580,6673,8908,9785,11076,11015,10682,10694,10511,9961,11127,11146,9591,9464,16218,10816,10545,9750,12099,10847,10943
